beta,bin_left,bin_right,count,fraction
0.2,0.9596131717345908,0.96958467644162,29,0.001721272554605888
0.2,0.96958467644162,0.9795561811486494,0,0.0
0.2,0.9795561811486494,0.9895276858556786,0,0.0
0.2,0.9895276858556786,0.999499190562708,0,0.0
0.2,0.999499190562708,1.0094706952697372,0,0.0
0.2,1.0094706952697372,1.0194421999767664,0,0.0
0.2,1.0194421999767664,1.029413704683796,0,0.0
0.2,1.029413704683796,1.0393852093908251,30,0.0017806267806267807
0.2,1.0393852093908251,1.0493567140978544,33,0.001958689458689459
0.2,1.0493567140978544,1.0593282188048838,21,0.0012464387464387464
0.2,1.0593282188048838,1.069299723511913,14,0.0008309591642924976
0.2,1.069299723511913,1.0792712282189423,17,0.0010090218423551758
0.2,1.0792712282189423,1.0892427329259715,4,0.00023741690408357076
0.2,1.0892427329259715,1.099214237633001,9,0.0005341880341880342
0.2,1.099214237633001,1.1091857423400302,4,0.00023741690408357076
0.2,1.1091857423400302,1.1191572470470597,156,0.009259259259259259
0.2,1.1191572470470597,1.1291287517540889,429,0.02546296296296296
0.2,1.1291287517540889,1.1391002564611181,223,0.01323599240265907
0.2,1.1391002564611181,1.1490717611681474,251,0.014897910731244064
0.2,1.1490717611681474,1.1590432658751768,447,0.026531339031339033
0.2,1.1590432658751768,1.169014770582206,668,0.039648622981956316
0.2,1.169014770582206,1.1789862752892353,471,0.027955840455840455
0.2,1.1789862752892353,1.1889577799962647,431,0.02558167141500475
0.2,1.1889577799962647,1.198929284703294,5216,0.30959164292497626
0.3,0.700103644633183,0.7150609016937269,4999,0.29671177587844255
0.3,0.7150609016937269,0.7300181587542709,549,0.03258547008547009
0.3,0.7300181587542709,0.7449754158148149,470,0.027896486229819564
0.3,0.7449754158148149,0.7599326728753588,676,0.040123456790123455
0.3,0.7599326728753588,0.7748899299359027,546,0.032407407407407406
0.3,0.7748899299359027,0.7898471869964467,158,0.009377967711301045
0.3,0.7898471869964467,0.8048044440569906,262,0.015550807217473884
0.3,0.8048044440569906,0.8197617011175345,318,0.018874643874643875
0.3,0.8197617011175345,0.8347189581780785,318,0.018874643874643875
0.3,0.8347189581780785,0.8496762152386225,7,0.0004154795821462488
0.3,0.8496762152386225,0.8646334722991664,1,5.935422602089269e-05
0.3,0.8646334722991664,0.8795907293597104,10,0.0005935422602089269
0.3,0.8795907293597104,0.8945479864202543,4,0.00023741690408357076
0.3,0.8945479864202543,0.9095052434807983,17,0.0010090218423551758
0.3,0.9095052434807983,0.9244625005413423,29,0.001721272554605888
0.3,0.9244625005413423,0.9394197576018861,31,0.0018399810066476734
0.3,0.9394197576018861,0.9543770146624302,29,0.001721272554605888
0.3,0.9543770146624302,0.969334271722974,0,0.0
0.3,0.969334271722974,0.984291528783518,0,0.0
0.3,0.984291528783518,0.999248785844062,0,0.0
0.3,0.999248785844062,1.0142060429046058,0,0.0
0.3,1.0142060429046058,1.0291632999651499,0,0.0
0.3,1.0291632999651499,1.044120557025694,0,0.0
0.3,1.044120557025694,1.0590778140862378,30,0.0017806267806267807
0.3,1.0590778140862378,1.0740350711467817,33,0.001958689458689459
0.3,1.0740350711467817,1.0889923282073257,21,0.0012464387464387464
0.3,1.0889923282073257,1.1039495852678696,14,0.0008309591642924976
0.3,1.1039495852678696,1.1189068423284136,17,0.0010090218423551758
0.3,1.1189068423284136,1.1338640993889575,4,0.00023741690408357076
0.3,1.1338640993889575,1.1488213564495013,9,0.0005341880341880342
0.3,1.1488213564495013,1.1637786135100454,4,0.00023741690408357076
0.3,1.1637786135100454,1.1787358705705895,156,0.009259259259259259
0.3,1.1787358705705895,1.1936931276311333,429,0.02546296296296296
0.3,1.1936931276311333,1.2086503846916772,223,0.01323599240265907
0.3,1.2086503846916772,1.2236076417522213,251,0.014897910731244064
0.3,1.2236076417522213,1.2385648988127653,447,0.026531339031339033
0.3,1.2385648988127653,1.2535221558733092,668,0.039648622981956316
0.3,1.2535221558733092,1.268479412933853,471,0.027955840455840455
0.3,1.268479412933853,1.2834366699943969,431,0.02558167141500475
0.3,1.2834366699943969,1.298393927054941,5216,0.30959164292497626
