beta,timestep_ns,src,dst,baseline_path,da_path,path_changed,baseline_hop_count,da_hop_count,baseline_total_cost_m,da_modified_total_cost_m,baseline_path_da_modified_cost_m,da_path_baseline_cost_m,baseline_physical_rtt_ms,da_physical_rtt_ms
0.01,20000000000,446,432,446->44->31->432,446->44->31->432,False,3,3,4686271.422872583,4701134.059664635,4701134.059664635,4686271.422872583,31.263437740468998,31.263437740468998
0.01,20000000000,394,361,394->44->31->18->361,394->44->31->18->361,False,4,4,7235908.665898476,7230830.729015538,7230830.729015538,7235908.665898476,48.272786541537855,48.272786541537855
0.01,20000000000,361,394,361->18->31->44->394,361->18->31->44->394,False,4,4,7235908.665898476,7244484.993690213,7244484.993690213,7235908.665898476,48.272786541537855,48.272786541537855
0.01,20000000000,441,436,441->241->240->239->238->237->224->223->222->436,441->241->240->239->238->237->224->223->222->436,False,9,9,25613328.697322935,25799337.45768681,25799337.45768681,25613328.697322935,170.87373623870775,170.87373623870775
0.01,20000000000,436,441,436->222->223->224->237->238->239->240->241->441,436->222->223->224->237->238->239->240->241->441,False,9,9,25613328.697322935,25427304.801807392,25427304.801807392,25613328.697322935,170.87373623870775,170.87373623870775
0.01,20000000000,366,367,366->209->196->183->170->157->144->131->118->105->104->367,366->209->196->183->170->157->144->131->118->105->104->367,False,11,11,23841118.661882937,23841254.609038047,23841254.609038047,23841118.661882937,159.0508234992552,159.0508234992552
0.01,20000000000,367,366,367->104->105->118->131->144->157->170->183->196->209->366,367->104->105->118->131->144->157->170->183->196->209->366,False,11,11,23841118.66188294,23826512.17012925,23826512.17012925,23841118.66188294,159.0508234992552,159.0508234992552
0.01,20000000000,364,440,364->183->182->194->193->192->191->178->165->152->139->126->113->100->87->86->440,364->183->182->194->193->192->191->178->165->152->139->126->113->100->87->86->440,False,16,16,38431359.15828718,38612806.94298043,38612806.94298043,38431359.15828718,256.38643089738554,256.38643089738554
0.01,20000000000,440,364,440->86->87->100->113->126->139->152->165->178->191->192->193->194->182->183->364,440->86->87->100->113->126->139->152->165->178->191->192->193->194->182->183->364,False,16,16,38431359.15828718,38243270.21490588,38243270.21490588,38431359.15828718,256.38643089738554,256.38643089738554
0.01,30000000000,399,447,399->19->18->17->16->29->42->55->68->81->94->107->120->133->132->131->130->447,399->19->18->17->16->29->42->55->68->81->94->107->120->133->132->131->130->447,False,17,17,40199626.54533466,40446642.81432065,40446642.81432065,40199626.54533466,268.18304111796346,268.18304111796346
0.01,30000000000,447,399,447->130->131->132->133->120->107->94->81->68->55->42->29->16->17->18->19->399,447->130->131->132->133->120->107->94->81->68->55->42->29->16->17->18->19->399,False,17,17,40199626.54533466,39953563.22050794,39953563.22050794,40199626.54533466,268.18304111796346,268.18304111796346
0.01,30000000000,425,410,425->187->200->213->226->239->240->241->410,425->187->200->213->226->239->240->241->410,False,8,8,18673168.289909538,18621696.780567985,18621696.780567985,18673168.289909538,124.57396970212999,124.57396970212999
0.01,30000000000,410,425,410->241->240->239->226->213->200->187->425,410->241->240->239->226->213->200->187->425,False,8,8,18673168.289909538,18731526.96871752,18731526.96871752,18673168.289909538,124.57396970212999,124.57396970212999
0.01,30000000000,386,424,386->195->196->197->198->211->224->237->250->263->276->289->290->424,386->195->196->197->198->211->224->237->250->263->276->289->290->424,False,13,13,29199725.04158576,29098147.633919243,29098147.633919243,29199725.04158576,194.79959727062752,194.79959727062752
0.01,30000000000,424,386,424->290->289->276->263->250->237->224->211->198->197->196->195->386,424->290->289->276->263->250->237->224->211->198->197->196->195->386,False,13,13,29199725.041585762,29302116.568349898,29302116.568349898,29199725.041585762,194.79959727062754,194.79959727062754
0.01,30000000000,355,401,355->169->181->168->155->142->129->116->103->90->77->64->51->38->401,355->169->181->168->155->142->129->116->103->90->77->64->51->38->401,False,14,14,32193807.15821702,32211691.977089666,32211691.977089666,32193807.15821702,214.77396311428905,214.77396311428905
0.01,30000000000,401,355,401->38->51->64->77->90->103->116->129->142->155->168->181->169->355,401->38->51->64->77->90->103->116->129->142->155->168->181->169->355,False,14,14,32193807.158217024,32188836.402299352,32188836.402299352,32193807.158217024,214.77396311428905,214.77396311428905
0.01,30000000000,412,406,412->169->170->183->196->209->406,412->169->170->183->196->209->406,False,6,6,12931671.722315382,12922103.299931554,12922103.299931554,12931671.722315382,86.27082754907319,86.27082754907319
0.01,30000000000,406,412,406->209->196->183->170->169->412,406->209->196->183->170->169->412,False,6,6,12931671.722315382,12935800.86177737,12935800.86177737,12931671.722315382,86.27082754907319,86.27082754907319
0.01,30000000000,432,446,432->31->44->446,432->31->44->446,False,3,3,4655526.453046794,4642418.155918576,4642418.155918576,4655526.453046794,31.05832937963232,31.05832937963232
0.01,30000000000,446,432,446->44->31->432,446->44->31->432,False,3,3,4655526.453046794,4670370.387355437,4670370.387355437,4655526.453046794,31.05832937963232,31.05832937963232
0.01,30000000000,394,361,394->44->31->18->361,394->44->31->18->361,False,4,4,7254259.8898353595,7249145.589905236,7249145.589905236,7254259.8898353595,48.39521272970355,48.39521272970355
0.01,30000000000,361,394,361->18->31->44->394,361->18->31->44->394,False,4,4,7254259.8898353595,7262843.348492986,7262843.348492986,7254259.8898353595,48.39521272970355,48.39521272970355
