timestep_ns,from_sat,to_sat,alpha
0,129,128,-0.9686335456680318
0,128,141,-0.9225848789615798
0,141,128,0.8413763686161473
0,117,129,-0.9687264928082103
0,129,117,0.9689595782335569
0,129,142,-0.8383011079687485
0,142,129,0.7894864907854835
0,130,131,0.968772758250306
0,131,130,-0.9690868804521424
0,130,143,0.6121029482673352
0,143,130,-0.5919655807790276
0,131,132,0.9690913236614607
0,132,131,-0.9700224901739374
0,131,144,0.7258828021883328
0,144,131,-0.6390005086735658
0,132,133,0.9700067574439835
0,133,132,-0.970540675645883
0,132,145,0.9064922253851915
0,145,132,-0.8138393507739261
0,133,134,0.9707196335532263
0,134,133,-0.9701947152909384
0,133,146,0.9891197027735933
0,146,133,-0.9890324271685111
0,134,135,0.9706154657211755
0,135,134,-0.9692728909570499
0,134,147,0.8138618374036531
0,147,134,-0.9063581872981259
0,135,136,0.96979259016117
0,136,135,-0.9685727618532538
0,135,148,0.6390848116671191
0,148,135,-0.7257188892090155
0,136,137,0.9689591455166254
0,137,136,-0.9687331041096139
0,136,149,0.592033017383806
0,149,136,-0.6118614131889613
0,137,138,0.9688829693665025
0,138,137,-0.9695999847471153
0,137,150,0.6577577300275884
0,150,137,-0.5996314399360004
0,138,139,0.9696132828124049
0,139,138,-0.9704696113485053
0,138,151,0.8127039157423651
0,151,138,-0.711595444739144
0,139,140,0.9705572731882962
0,140,139,-0.9705909652609636
0,139,152,0.9789596622768887
0,152,139,-0.9218206464858383
0,140,141,0.9708902432302033
0,141,140,-0.9698705517831806
0,140,153,0.9218373163449539
0,153,140,-0.9788221021044636
0,141,142,0.9703271627370686
0,142,141,-0.9689246513415469
0,141,154,0.7116210754190841
0,154,141,-0.8125489938696875
0,130,142,-0.9685658033108372
0,142,130,0.9693449829431269
0,142,155,0.5996693269590349
0,155,142,-0.6574868412203462
0,143,144,0.9688207121035102
0,144,143,-0.9695539126285707
0,143,156,-0.7910346634688832
0,156,143,0.8084007671974872
0,144,145,0.9695204068572452
0,145,144,-0.9703780513535185
